Year,Campus Id,Campus Name,District Id,District Name,County Name,Region Number,Charter School,Alt Ed Type,Alt Ed Campus,Alternate Education,Disciplinary Alt Ed Program,Juvenile Justice Alt Ed,Grade Span,School Type,Composite Academic Progress Percentile  (3 Year Avg),Composite Progress Z-Score (3 Year Avg),Composite Academic Progress Quintile  (3 Year Avg),Math Progress Z-Score (3 Year Avg),Math Progress Z-Score,Math Progress Z-Score standard error,Reading Progress Z-Score (3 Year Avg),Reading Progress Z-Score,Reading Progress Z-Score standard error,TEA Accountability Rating,Smart Score,Spending Index,Spending Score,Cost-Adjusted Core Operating Expenditures Per Student (3 Year Avg),Cost-Adjusted Core Operating Expenditures Per Student,Core Operating Expenditures Per Student (not cost adjusted),Core Operating Expenditures (not cost adjusted),Core Payroll Expenditures (not cost adjusted),Campus Cost Deflator,Total Operating Expenditures Per Student (not cost adjusted),Urban County Indicator,ACS Comparable Wage Index,High School Comparable Wage Index,Enrollment,% Economically Disadvantaged,% LEP,% Special Education,% Student Mobility,% Students Early Childhood Education,% Students Pre-Kindergarten,% Students Kindergarten,% Students Grade 1,% Students Grade 2,% Students Grade 3,% Students Grade 4,% Students Grade 5,% Students Grade 6,% Students Grade 7,% Students Grade 8,% Students Grade 9,% Students Grade 10,% Students Grade 11,% Students Grade 12,% Students Bilingual/ESL,% Students Career and Technical,% Students Gifted and Talented,% Students Asian,% Students White,% Students African American,% Students Hispanic,% Students Pacific Islander,% Students American Indian,% Students Two Or More Races,% Students At-Risk,Fiscal Peers Group,Number of Campus Matches,Latitude,Longitude
2018,002901101,DEVONIAN EL,002901,ANDREWS ISD,ANDREWS,18,N, ,N,N,N,N,02-03,E,,,,,,,,,,Met Standard,,Very High Spending,1,8398,8129,6493,3960668,3869993,1.257961949,7434,0,0.812,0.879,610,42.099998,14.3,5.6999998,12.5,0,0,0,0,48.5,51.5,0,0,0,0,0,0,0,0,0,18.9,0,3.8,0.30000001,32.099998,0.30000001,65.099998,0,0.5,1.6,22.6,0,40,32.3282,-102.5636
2018,002901104,UNDERWOOD EL,002901,ANDREWS ISD,ANDREWS,18,N, ,N,N,N,N,04-05,E,45,0.028000001,3,0.03132806,-0.039242603,0.1132281,0.025146978,0.026313774,0.067223474,Met Standard,2,Very High Spending,1,8052,7642,6107,3957036,3856920,1.257961949,6983,0,0.812,0.879,648,42,11.1,7.9000001,9.1999998,0,0,0,0,0,0,45.400002,54.599998,0,0,0,0,0,0,0,18.5,0,7.3000002,0.30000001,28.5,0.89999998,67.699997,0,0.2,2.3,50,0,40,32.3146,-102.5529
2018,002901105,CLEARFORK EL,002901,ANDREWS ISD,ANDREWS,18,N, ,N,N,N,N,EE - 01,E,,,,,,,,,,Met Standard,,High Spending,2,7892,7609,6086,4752848,4612446,1.257961949,6966,0,0.812,0.879,781,49.299999,19.799999,5.0999999,14.2,1.3,17.9,42,38.799999,0,0,0,0,0,0,0,0,0,0,0,23.299999,0,0.40000001,0.5,28.299999,0.80000001,69.099998,0,0.40000001,0.89999998,26.1,0,38,32.3327,-102.5473
2018,003801001,PINEYWOODS COMMUNITY ACADEMY H S,003801,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,7,Y, ,N,N,N,N,09-12,S,43,0.018999999,3,0.048088405,0.25187254,0.13046119,-0.010391278,0.04134718,0.078188084,Met Standard,2,Very High Spending,1,11355,11263,10125,2389455,1667595,1.1610792,10452,0,0.812,0.879,236,44.099998,3,9.3000002,3.4000001,0,0,0,0,0,0,0,0,0,0,0,28,28.4,24.6,19.1,3,43.200001,13.1,3.4000001,61,16.9,16.5,0.40000001,0,1.7,29.200001,0,40,31.3383,-94.6877
2018,003801042,DR TERRY ROBBINS MIDDLE,003801,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,7,Y, ,N,N,N,N,06-08,M,,,,,-0.17591164,0.11805724,,-0.014114287,0.074469604,Met Standard,,,,,5137,4517,1106545,943076,1.1610792,4590,,0.812,0.879,245,43.700001,5.3000002,10.6,6.6999998,0,0,0,0,0,0,0,0,33.5,34.700001,31.799999,0,0,0,0,5.3000002,0,16.700001,1.2,55.5,17.1,25.700001,0,0,0.40000001,38.799999,,,,
2018,003801103,SARAH STRINDEN EL,003801,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,7,Y, ,N,N,N,N,PK - 05,E,48,0.037999999,3,0.009662218,0.13413808,0.11977124,0.065906197,0.12036605,0.076593749,Met Standard,4,Very Low Spending,5,5694.333333,6150,5373,2896168,2597780,1.1610792,5373,0,0.812,0.879,539,56.799999,6.5,6.3000002,5.8000002,0,6.5,14.3,15.8,15.4,16,15.8,16.299999,0,0,0,0,0,0,0,6.5,0,5.1999998,0.60000002,50.5,15.8,29.5,0,0,3.7,21,0,40,31.3327,-94.7322
2018,003902001,HUDSON H S,003902,HUDSON ISD,ANGELINA,7,N, ,N,N,N,N,09-12,S,14,-0.096000001,1,-0.16333818,-0.055921875,0.11854404,-0.028188726,0.031159349,0.069961399,Met Standard,2,Average Spending,3,7957.333333,8262,7314,6027026,4849275,1.1610792,8091,0,0.818,0.866,824,46.200001,1.2,8.6000004,9.8999996,0,0,0,0,0,0,0,0,0,0,0,25.799999,26.299999,24,23.799999,0.60000002,95.300003,10.3,1.2,68.099998,6.3000002,22,0,0.60000002,1.8,37.400002,0,40,31.3156,-94.8292
2018,003902004,STUBBLEFIELD LRN CTR,003902,HUDSON ISD,ANGELINA,7,N,AEC OF CHOICE - DRS,Y,Y,N,N,10-12,S,,,,,,,,,,Not Rated,,,,,,,,,1.1610792,,,0.818,0.866,12,33.299999,8.3000002,8.3000002,97.099998,0,0,0,0,0,0,0,0,0,0,0,0,16.700001,33.299999,50,8.3000002,41.700001,0,0,58.299999,0,41.700001,0,0,0,100,,,31.3046,-94.7429
2018,003902041,HUDSON MIDDLE,003902,HUDSON ISD,ANGELINA,7,N, ,N,N,N,N,06-08,M,72,0.111,4,0.20061545,0.27303436,0.1136483,0.021420583,0.032548837,0.068930648,Met Standard,3.5,Average Spending,3,7153.666667,7026,6122,4034716,3696721,1.1610792,6250,0,0.818,0.866,659,52.5,7.0999999,9.6999998,10.1,0,0,0,0,0,0,0,0,32.200001,33.700001,34.099998,0,0,0,0,7,20.6,5.9000001,0.89999998,65.599998,5.1999998,26.700001,0,0.30000001,1.4,45.200001,0,40,31.3156,-94.8292
2018,003902101,W F PEAVY PRI,003902,HUDSON ISD,ANGELINA,7,N, ,N,N,N,N,EE - 02,E,,,,,,,,,,Met Standard,,Average Spending,3,6041.666667,5934,5173,3698696,3377272,1.1610792,5200,0,0.818,0.866,715,60.099998,10.9,7.5999999,15.3,0.1,13.1,28,30.799999,28,0,0,0,0,0,0,0,0,0,0,10.6,0,2,0.80000001,63.900002,7,24.299999,0,0.80000001,3.0999999,40,0,40,31.314,-94.8364
